Region,County,First Dose,Series Complete,Report as of
Capital Region,Albany,72,0,12/14/2020
Western New York,Allegany,0,0,12/14/2020
New York City,Bronx,2,0,12/14/2020
Southern Tier,Broome,0,0,12/14/2020
Western New York,Cattaraugus,0,0,12/14/2020
Central New York,Cayuga,0,0,12/14/2020
Western New York,Chautauqua,0,0,12/14/2020
Southern Tier,Chemung,0,0,12/14/2020
Southern Tier,Chenango,0,0,12/14/2020
North Country,Clinton,0,0,12/14/2020
Capital Region,Columbia,1,0,12/14/2020
Central New York,Cortland,0,0,12/14/2020
Southern Tier,Delaware,0,0,12/14/2020
Mid-Hudson,Dutchess,0,0,12/14/2020
Western New York,Erie,0,0,12/14/2020
North Country,Essex,0,0,12/14/2020
North Country,Franklin,0,0,12/14/2020
Mohawk Valley,Fulton,1,0,12/14/2020
Finger Lakes,Genesee,0,0,12/14/2020
Capital Region,Greene,2,0,12/14/2020
North Country,Hamilton,0,0,12/14/2020
Mohawk Valley,Herkimer,0,0,12/14/2020
North Country,Jefferson,0,0,12/14/2020
New York City,Kings,15,0,12/14/2020
North Country,Lewis,0,0,12/14/2020
Finger Lakes,Livingston,0,0,12/14/2020
Central New York,Madison,0,0,12/14/2020
Finger Lakes,Monroe,0,0,12/14/2020
Mohawk Valley,Montgomery,1,0,12/14/2020
Long Island,Nassau,1,0,12/14/2020
New York City,New York,25,0,12/14/2020
Western New York,Niagara,0,0,12/14/2020
Mohawk Valley,Oneida,0,0,12/14/2020
Central New York,Onondaga,2,0,12/14/2020
Finger Lakes,Ontario,0,0,12/14/2020
Mid-Hudson,Orange,1,0,12/14/2020
Finger Lakes,Orleans,0,0,12/14/2020
Central New York,Oswego,0,0,12/14/2020
Mohawk Valley,Otsego,0,0,12/14/2020
Mid-Hudson,Putnam,1,0,12/14/2020
New York City,Queens,3,0,12/14/2020
Capital Region,Rensselaer,10,0,12/14/2020
New York City,Richmond,4,0,12/14/2020
Mid-Hudson,Rockland,0,0,12/14/2020
Capital Region,Saratoga,20,0,12/14/2020
Capital Region,Schenectady,29,0,12/14/2020
Mohawk Valley,Schoharie,0,0,12/14/2020
Southern Tier,Schuyler,0,0,12/14/2020
Finger Lakes,Seneca,0,0,12/14/2020
North Country,St. Lawrence,0,0,12/14/2020
Southern Tier,Steuben,0,0,12/14/2020
Long Island,Suffolk,1,0,12/14/2020
Mid-Hudson,Sullivan,0,0,12/14/2020
Southern Tier,Tioga,0,0,12/14/2020
Southern Tier,Tompkins,0,0,12/14/2020
Mid-Hudson,Ulster,1,0,12/14/2020
Capital Region,Warren,0,0,12/14/2020
Capital Region,Washington,1,0,12/14/2020
Finger Lakes,Wayne,0,0,12/14/2020
Mid-Hudson,Westchester,8,0,12/14/2020
Finger Lakes,Wyoming,0,0,12/14/2020
Finger Lakes,Yates,0,0,12/14/2020
Capital Region,Albany,183,0,12/15/2020
Western New York,Allegany,0,0,12/15/2020
New York City,Bronx,49,0,12/15/2020
Southern Tier,Broome,1,0,12/15/2020
Western New York,Cattaraugus,0,0,12/15/2020
Central New York,Cayuga,0,0,12/15/2020
Western New York,Chautauqua,0,0,12/15/2020
Southern Tier,Chemung,1,0,12/15/2020
Southern Tier,Chenango,0,0,12/15/2020
North Country,Clinton,1,0,12/15/2020
Capital Region,Columbia,8,0,12/15/2020
Central New York,Cortland,0,0,12/15/2020
Southern Tier,Delaware,0,0,12/15/2020
Mid-Hudson,Dutchess,6,0,12/15/2020
Western New York,Erie,7,0,12/15/2020
North Country,Essex,1,0,12/15/2020
North Country,Franklin,0,0,12/15/2020
Mohawk Valley,Fulton,3,0,12/15/2020
Finger Lakes,Genesee,0,0,12/15/2020
Capital Region,Greene,6,0,12/15/2020
North Country,Hamilton,0,0,12/15/2020
Mohawk Valley,Herkimer,0,0,12/15/2020
North Country,Jefferson,0,0,12/15/2020
New York City,Kings,205,0,12/15/2020
North Country,Lewis,0,0,12/15/2020
Finger Lakes,Livingston,0,0,12/15/2020
Central New York,Madison,0,0,12/15/2020
Finger Lakes,Monroe,10,0,12/15/2020
Mohawk Valley,Montgomery,3,0,12/15/2020
Long Island,Nassau,101,0,12/15/2020
New York City,New York,476,1,12/15/2020
Western New York,Niagara,0,0,12/15/2020
Mohawk Valley,Oneida,0,0,12/15/2020
Central New York,Onondaga,12,0,12/15/2020
Finger Lakes,Ontario,0,0,12/15/2020
Mid-Hudson,Orange,8,0,12/15/2020
Finger Lakes,Orleans,0,0,12/15/2020
Central New York,Oswego,0,0,12/15/2020
Mohawk Valley,Otsego,0,0,12/15/2020
Mid-Hudson,Putnam,2,0,12/15/2020
New York City,Queens,154,0,12/15/2020
Capital Region,Rensselaer,40,0,12/15/2020
New York City,Richmond,62,0,12/15/2020
Mid-Hudson,Rockland,26,0,12/15/2020
Capital Region,Saratoga,45,0,12/15/2020
Capital Region,Schenectady,74,0,12/15/2020
Mohawk Valley,Schoharie,1,0,12/15/2020
Southern Tier,Schuyler,0,0,12/15/2020
Finger Lakes,Seneca,0,0,12/15/2020
North Country,St. Lawrence,0,0,12/15/2020
Southern Tier,Steuben,0,0,12/15/2020
Long Island,Suffolk,25,0,12/15/2020
Mid-Hudson,Sullivan,0,0,12/15/2020
Southern Tier,Tioga,0,0,12/15/2020
Southern Tier,Tompkins,0,0,12/15/2020
Mid-Hudson,Ulster,5,0,12/15/2020
Capital Region,Warren,5,0,12/15/2020
Capital Region,Washington,2,0,12/15/2020
Finger Lakes,Wayne,0,0,12/15/2020
Mid-Hudson,Westchester,81,0,12/15/2020
Finger Lakes,Wyoming,0,0,12/15/2020
Finger Lakes,Yates,0,0,12/15/2020
Capital Region,Albany,378,3,12/16/2020
Western New York,Allegany,7,0,12/16/2020
New York City,Bronx,199,1,12/16/2020
Southern Tier,Broome,1,0,12/16/2020
Western New York,Cattaraugus,21,0,12/16/2020
Central New York,Cayuga,9,0,12/16/2020
Western New York,Chautauqua,21,0,12/16/2020
Southern Tier,Chemung,2,0,12/16/2020
Southern Tier,Chenango,0,0,12/16/2020
North Country,Clinton,11,0,12/16/2020
Capital Region,Columbia,17,0,12/16/2020
Central New York,Cortland,0,0,12/16/2020
Southern Tier,Delaware,1,0,12/16/2020
Mid-Hudson,Dutchess,168,0,12/16/2020
Western New York,Erie,27,0,12/16/2020
North Country,Essex,1,0,12/16/2020
North Country,Franklin,7,0,12/16/2020
Mohawk Valley,Fulton,9,0,12/16/2020
Finger Lakes,Genesee,3,0,12/16/2020
Capital Region,Greene,12,0,12/16/2020
North Country,Hamilton,0,0,12/16/2020
Mohawk Valley,Herkimer,4,0,12/16/2020
North Country,Jefferson,1,0,12/16/2020
New York City,Kings,537,0,12/16/2020
North Country,Lewis,0,0,12/16/2020
Finger Lakes,Livingston,17,0,12/16/2020
Central New York,Madison,17,0,12/16/2020
Finger Lakes,Monroe,401,1,12/16/2020
Mohawk Valley,Montgomery,9,0,12/16/2020
Long Island,Nassau,487,1,12/16/2020
New York City,New York,1479,2,12/16/2020
Western New York,Niagara,0,0,12/16/2020
Mohawk Valley,Oneida,39,0,12/16/2020
Central New York,Onondaga,207,1,12/16/2020
Finger Lakes,Ontario,17,0,12/16/2020
Mid-Hudson,Orange,63,0,12/16/2020
Finger Lakes,Orleans,3,0,12/16/2020
Central New York,Oswego,9,0,12/16/2020
Mohawk Valley,Otsego,0,0,12/16/2020
Mid-Hudson,Putnam,32,1,12/16/2020
New York City,Queens,582,2,12/16/2020
Capital Region,Rensselaer,100,1,12/16/2020
New York City,Richmond,192,0,12/16/2020
Mid-Hudson,Rockland,88,0,12/16/2020
Capital Region,Saratoga,129,0,12/16/2020
Capital Region,Schenectady,168,0,12/16/2020
Mohawk Valley,Schoharie,7,0,12/16/2020
Southern Tier,Schuyler,0,0,12/16/2020
Finger Lakes,Seneca,1,0,12/16/2020
North Country,St. Lawrence,226,1,12/16/2020
Southern Tier,Steuben,0,0,12/16/2020
Long Island,Suffolk,210,1,12/16/2020
Mid-Hudson,Sullivan,2,0,12/16/2020
Southern Tier,Tioga,1,0,12/16/2020
Southern Tier,Tompkins,4,0,12/16/2020
Mid-Hudson,Ulster,50,0,12/16/2020
Capital Region,Warren,14,0,12/16/2020
Capital Region,Washington,7,0,12/16/2020
Finger Lakes,Wayne,9,1,12/16/2020
Mid-Hudson,Westchester,591,2,12/16/2020
Finger Lakes,Wyoming,3,0,12/16/2020
Finger Lakes,Yates,1,0,12/16/2020
Capital Region,Albany,461,3,12/17/2020
Western New York,Allegany,23,0,12/17/2020
New York City,Bronx,350,1,12/17/2020
Southern Tier,Broome,4,0,12/17/2020
Western New York,Cattaraugus,70,0,12/17/2020
Central New York,Cayuga,18,0,12/17/2020
Western New York,Chautauqua,102,0,12/17/2020
Southern Tier,Chemung,3,0,12/17/2020
Southern Tier,Chenango,0,0,12/17/2020
North Country,Clinton,25,0,12/17/2020
Capital Region,Columbia,25,0,12/17/2020
Central New York,Cortland,0,0,12/17/2020
Southern Tier,Delaware,1,0,12/17/2020
Mid-Hudson,Dutchess,219,1,12/17/2020
Western New York,Erie,722,2,12/17/2020
North Country,Essex,10,0,12/17/2020
North Country,Franklin,24,0,12/17/2020
Mohawk Valley,Fulton,11,0,12/17/2020
Finger Lakes,Genesee,7,0,12/17/2020
Capital Region,Greene,15,0,12/17/2020
North Country,Hamilton,0,0,12/17/2020
Mohawk Valley,Herkimer,23,0,12/17/2020
North Country,Jefferson,5,0,12/17/2020
New York City,Kings,1095,6,12/17/2020
North Country,Lewis,3,0,12/17/2020
Finger Lakes,Livingston,23,0,12/17/2020
Central New York,Madison,32,0,12/17/2020
Finger Lakes,Monroe,595,1,12/17/2020
Mohawk Valley,Montgomery,13,0,12/17/2020
Long Island,Nassau,956,2,12/17/2020
New York City,New York,2397,5,12/17/2020
Western New York,Niagara,50,0,12/17/2020
Mohawk Valley,Oneida,157,0,12/17/2020
Central New York,Onondaga,433,2,12/17/2020
