,End Date,Group,State,Condition Group,Condition,ICD10_codes,Age Group,COVID-19 Deaths
230,03/27/2021,By Total,Alabama,Respiratory diseases,Influenza and pneumonia,J09-J18,0-24,4.0
231,03/27/2021,By Total,Alabama,Respiratory diseases,Influenza and pneumonia,J09-J18,25-34,25.0
232,03/27/2021,By Total,Alabama,Respiratory diseases,Influenza and pneumonia,J09-J18,35-44,60.0
233,03/27/2021,By Total,Alabama,Respiratory diseases,Influenza and pneumonia,J09-J18,45-54,168.0
234,03/27/2021,By Total,Alabama,Respiratory diseases,Influenza and pneumonia,J09-J18,55-64,429.0
235,03/27/2021,By Total,Alabama,Respiratory diseases,Influenza and pneumonia,J09-J18,65-74,865.0
236,03/27/2021,By Total,Alabama,Respiratory diseases,Influenza and pneumonia,J09-J18,75-84,996.0
237,03/27/2021,By Total,Alabama,Respiratory diseases,Influenza and pneumonia,J09-J18,85+,701.0
240,03/27/2021,By Total,Alabama,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,0-24,0.0
241,03/27/2021,By Total,Alabama,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,25-34,5.0
242,03/27/2021,By Total,Alabama,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,35-44,4.0
243,03/27/2021,By Total,Alabama,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,45-54,18.0
244,03/27/2021,By Total,Alabama,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,55-64,85.0
245,03/27/2021,By Total,Alabama,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,65-74,220.0
246,03/27/2021,By Total,Alabama,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,75-84,239.0
247,03/27/2021,By Total,Alabama,Respiratory diseases,Chronic lower respiratory diseases,J40-J47,85+,152.0
250,03/27/2021,By Total,Alabama,Respiratory diseases,Adult respiratory distress syndrome,J80,0-24,8.0
251,03/27/2021,By Total,Alabama,Respiratory diseases,Adult respiratory distress syndrome,J80,25-34,11.0
252,03/27/2021,By Total,Alabama,Respiratory diseases,Adult respiratory distress syndrome,J80,35-44,17.0
253,03/27/2021,By Total,Alabama,Respiratory diseases,Adult respiratory distress syndrome,J80,45-54,59.0
254,03/27/2021,By Total,Alabama,Respiratory diseases,Adult respiratory distress syndrome,J80,55-64,113.0
255,03/27/2021,By Total,Alabama,Respiratory diseases,Adult respiratory distress syndrome,J80,65-74,198.0
256,03/27/2021,By Total,Alabama,Respiratory diseases,Adult respiratory distress syndrome,J80,75-84,141.0
257,03/27/2021,By Total,Alabama,Respiratory diseases,Adult respiratory distress syndrome,J80,85+,38.0
260,03/27/2021,By Total,Alabama,Respiratory diseases,Respiratory failure,J96,0-24,4.0
261,03/27/2021,By Total,Alabama,Respiratory diseases,Respiratory failure,J96,25-34,23.0
262,03/27/2021,By Total,Alabama,Respiratory diseases,Respiratory failure,J96,35-44,79.0
263,03/27/2021,By Total,Alabama,Respiratory diseases,Respiratory failure,J96,45-54,245.0
264,03/27/2021,By Total,Alabama,Respiratory diseases,Respiratory failure,J96,55-64,567.0
265,03/27/2021,By Total,Alabama,Respiratory diseases,Respiratory failure,J96,65-74,1070.0
266,03/27/2021,By Total,Alabama,Respiratory diseases,Respiratory failure,J96,75-84,1231.0
267,03/27/2021,By Total,Alabama,Respiratory diseases,Respiratory failure,J96,85+,746.0
270,03/27/2021,By Total,Alabama,Respiratory diseases,Respiratory arrest,R09.2,0-24,8.0
271,03/27/2021,By Total,Alabama,Respiratory diseases,Respiratory arrest,R09.2,25-34,7.0
272,03/27/2021,By Total,Alabama,Respiratory diseases,Respiratory arrest,R09.2,35-44,21.0
273,03/27/2021,By Total,Alabama,Respiratory diseases,Respiratory arrest,R09.2,45-54,46.0
274,03/27/2021,By Total,Alabama,Respiratory diseases,Respiratory arrest,R09.2,55-64,135.0
275,03/27/2021,By Total,Alabama,Respiratory diseases,Respiratory arrest,R09.2,65-74,218.0
276,03/27/2021,By Total,Alabama,Respiratory diseases,Respiratory arrest,R09.2,75-84,198.0
277,03/27/2021,By Total,Alabama,Respiratory diseases,Respiratory arrest,R09.2,85+,163.0
280,03/27/2021,By Total,Alabama,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",0-24,0.0
281,03/27/2021,By Total,Alabama,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",25-34,3.0
282,03/27/2021,By Total,Alabama,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",35-44,6.0
283,03/27/2021,By Total,Alabama,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",45-54,25.0
284,03/27/2021,By Total,Alabama,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",55-64,56.0
285,03/27/2021,By Total,Alabama,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",65-74,119.0
286,03/27/2021,By Total,Alabama,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",75-84,99.0
287,03/27/2021,By Total,Alabama,Respiratory diseases,Other diseases of the respiratory system,"J00-J06, J20-J39, J60-J70, J81-J86, J90-J95, J97-J99, U04",85+,71.0
290,03/27/2021,By Total,Alabama,Circulatory diseases,Hypertensive diseases,I10-I15,0-24,0.0
291,03/27/2021,By Total,Alabama,Circulatory diseases,Hypertensive diseases,I10-I15,25-34,1.0
292,03/27/2021,By Total,Alabama,Circulatory diseases,Hypertensive diseases,I10-I15,35-44,14.0
293,03/27/2021,By Total,Alabama,Circulatory diseases,Hypertensive diseases,I10-I15,45-54,43.0
294,03/27/2021,By Total,Alabama,Circulatory diseases,Hypertensive diseases,I10-I15,55-64,145.0
295,03/27/2021,By Total,Alabama,Circulatory diseases,Hypertensive diseases,I10-I15,65-74,270.0
296,03/27/2021,By Total,Alabama,Circulatory diseases,Hypertensive diseases,I10-I15,75-84,274.0
297,03/27/2021,By Total,Alabama,Circulatory diseases,Hypertensive diseases,I10-I15,85+,282.0
300,03/27/2021,By Total,Alabama,Circulatory diseases,Ischemic heart disease,I20-I25,0-24,0.0
301,03/27/2021,By Total,Alabama,Circulatory diseases,Ischemic heart disease,I20-I25,25-34,6.0
302,03/27/2021,By Total,Alabama,Circulatory diseases,Ischemic heart disease,I20-I25,35-44,1.0
303,03/27/2021,By Total,Alabama,Circulatory diseases,Ischemic heart disease,I20-I25,45-54,17.0
304,03/27/2021,By Total,Alabama,Circulatory diseases,Ischemic heart disease,I20-I25,55-64,86.0
305,03/27/2021,By Total,Alabama,Circulatory diseases,Ischemic heart disease,I20-I25,65-74,220.0
306,03/27/2021,By Total,Alabama,Circulatory diseases,Ischemic heart disease,I20-I25,75-84,274.0
307,03/27/2021,By Total,Alabama,Circulatory diseases,Ischemic heart disease,I20-I25,85+,227.0
310,03/27/2021,By Total,Alabama,Circulatory diseases,Cardiac arrest,I46,0-24,1.0
311,03/27/2021,By Total,Alabama,Circulatory diseases,Cardiac arrest,I46,25-34,13.0
