,Year,Month,State,Sex,Age Group,COVID-19 Deaths,Total Deaths,Pneumonia Deaths,Pneumonia and COVID-19 Deaths,Influenza Deaths,"Pneumonia, Influenza, or COVID-19 Deaths"
8263,2020.0,1.0,United States,All Sexes,Under 1 year,0.0,1778.0,41.0,0.0,8.0,49.0
8266,2020.0,1.0,United States,All Sexes,5-14 years,0.0,470.0,21.0,0.0,29.0,50.0
8267,2020.0,1.0,United States,All Sexes,15-24 years,0.0,2594.0,59.0,0.0,29.0,88.0
8269,2020.0,1.0,United States,All Sexes,25-34 years,0.0,5213.0,180.0,0.0,89.0,269.0
8271,2020.0,1.0,United States,All Sexes,35-44 years,0.0,7583.0,323.0,0.0,121.0,444.0
8273,2020.0,1.0,United States,All Sexes,45-54 years,1.0,14418.0,778.0,0.0,199.0,978.0
8275,2020.0,1.0,United States,All Sexes,55-64 years,0.0,34263.0,2084.0,0.0,410.0,2494.0
8277,2020.0,1.0,United States,All Sexes,75-84 years,0.0,63998.0,4786.0,0.0,384.0,5170.0
8278,2020.0,1.0,United States,All Sexes,85 years and over,1.0,81441.0,5940.0,0.0,431.0,6372.0
8314,2020.0,2.0,United States,All Sexes,Under 1 year,0.0,1669.0,30.0,0.0,9.0,39.0
8317,2020.0,2.0,United States,All Sexes,5-14 years,0.0,460.0,21.0,0.0,31.0,52.0
8318,2020.0,2.0,United States,All Sexes,15-24 years,0.0,2402.0,52.0,0.0,23.0,75.0
8320,2020.0,2.0,United States,All Sexes,25-34 years,0.0,5032.0,141.0,0.0,76.0,217.0
8322,2020.0,2.0,United States,All Sexes,35-44 years,2.0,6926.0,268.0,1.0,95.0,364.0
8324,2020.0,2.0,United States,All Sexes,45-54 years,2.0,13378.0,670.0,2.0,219.0,889.0
8326,2020.0,2.0,United States,All Sexes,55-64 years,4.0,31963.0,1936.0,3.0,436.0,2373.0
8328,2020.0,2.0,United States,All Sexes,75-84 years,3.0,59604.0,4229.0,2.0,506.0,4736.0
8329,2020.0,2.0,United States,All Sexes,85 years and over,3.0,74883.0,5174.0,0.0,459.0,5636.0
8365,2020.0,3.0,United States,All Sexes,Under 1 year,3.0,1648.0,28.0,2.0,3.0,32.0
8368,2020.0,3.0,United States,All Sexes,5-14 years,2.0,434.0,17.0,0.0,12.0,31.0
8369,2020.0,3.0,United States,All Sexes,15-24 years,13.0,2644.0,64.0,5.0,20.0,91.0
8371,2020.0,3.0,United States,All Sexes,25-34 years,100.0,5531.0,216.0,45.0,40.0,311.0
8373,2020.0,3.0,United States,All Sexes,35-44 years,235.0,8029.0,422.0,86.0,87.0,650.0
8375,2020.0,3.0,United States,All Sexes,45-54 years,521.0,14663.0,1003.0,221.0,195.0,1482.0
8377,2020.0,3.0,United States,All Sexes,55-64 years,1037.0,35134.0,2854.0,455.0,435.0,3839.0
8379,2020.0,3.0,United States,All Sexes,75-84 years,1865.0,66134.0,6146.0,926.0,559.0,7623.0
8380,2020.0,3.0,United States,All Sexes,85 years and over,1696.0,81863.0,7012.0,843.0,535.0,8389.0
8416,2020.0,4.0,United States,All Sexes,Under 1 year,4.0,1569.0,19.0,0.0,0.0,23.0
8419,2020.0,4.0,United States,All Sexes,5-14 years,5.0,415.0,15.0,0.0,1.0,21.0
8420,2020.0,4.0,United States,All Sexes,15-24 years,83.0,2823.0,75.0,23.0,5.0,137.0
8422,2020.0,4.0,United States,All Sexes,25-34 years,431.0,6135.0,336.0,184.0,18.0,588.0
8424,2020.0,4.0,United States,All Sexes,35-44 years,1110.0,9034.0,794.0,459.0,37.0,1460.0
8426,2020.0,4.0,United States,All Sexes,45-54 years,3180.0,17370.0,2123.0,1351.0,115.0,3981.0
8428,2020.0,4.0,United States,All Sexes,55-64 years,7935.0,40744.0,5831.0,3543.0,250.0,10294.0
8430,2020.0,4.0,United States,All Sexes,75-84 years,17640.0,79041.0,12838.0,7899.0,278.0,22687.0
8431,2020.0,4.0,United States,All Sexes,85 years and over,21081.0,101473.0,14359.0,8678.0,248.0,26856.0
8467,2020.0,5.0,United States,All Sexes,Under 1 year,3.0,1684.0,14.0,0.0,1.0,18.0
8470,2020.0,5.0,United States,All Sexes,5-14 years,8.0,458.0,16.0,3.0,2.0,23.0
8471,2020.0,5.0,United States,All Sexes,15-24 years,50.0,3079.0,57.0,17.0,1.0,91.0
8473,2020.0,5.0,United States,All Sexes,25-34 years,239.0,6593.0,230.0,99.0,2.0,372.0
8475,2020.0,5.0,United States,All Sexes,35-44 years,615.0,9266.0,532.0,252.0,4.0,899.0
8477,2020.0,5.0,United States,All Sexes,45-54 years,1707.0,16524.0,1382.0,777.0,11.0,2321.0
8479,2020.0,5.0,United States,All Sexes,55-64 years,4363.0,36724.0,3696.0,2044.0,17.0,6030.0
8481,2020.0,5.0,United States,All Sexes,75-84 years,9767.0,66468.0,7682.0,4200.0,28.0,13271.0
8482,2020.0,5.0,United States,All Sexes,85 years and over,13685.0,84539.0,8864.0,4867.0,28.0,17706.0
8518,2020.0,6.0,United States,All Sexes,Under 1 year,6.0,1656.0,12.0,0.0,0.0,18.0
8521,2020.0,6.0,United States,All Sexes,5-14 years,2.0,525.0,12.0,1.0,0.0,13.0
8522,2020.0,6.0,United States,All Sexes,15-24 years,47.0,3249.0,61.0,16.0,0.0,92.0
8524,2020.0,6.0,United States,All Sexes,25-34 years,184.0,6581.0,207.0,79.0,1.0,313.0
8526,2020.0,6.0,United States,All Sexes,35-44 years,432.0,8620.0,423.0,183.0,0.0,672.0
8528,2020.0,6.0,United States,All Sexes,45-54 years,1138.0,15692.0,1117.0,524.0,3.0,1734.0
8530,2020.0,6.0,United States,All Sexes,55-64 years,2376.0,33811.0,2634.0,1148.0,7.0,3867.0
8532,2020.0,6.0,United States,All Sexes,75-84 years,4474.0,58722.0,5200.0,1998.0,9.0,7684.0
8533,2020.0,6.0,United States,All Sexes,85 years and over,5479.0,71492.0,5228.0,1906.0,7.0,8807.0
8569,2020.0,7.0,United States,All Sexes,Under 1 year,6.0,1642.0,10.0,1.0,0.0,15.0
8572,2020.0,7.0,United States,All Sexes,5-14 years,14.0,540.0,16.0,3.0,0.0,27.0
8573,2020.0,7.0,United States,All Sexes,15-24 years,99.0,3504.0,67.0,35.0,0.0,131.0
8575,2020.0,7.0,United States,All Sexes,25-34 years,350.0,6914.0,312.0,152.0,2.0,511.0
8577,2020.0,7.0,United States,All Sexes,35-44 years,898.0,9920.0,665.0,425.0,2.0,1140.0
8579,2020.0,7.0,United States,All Sexes,45-54 years,1986.0,17195.0,1595.0,983.0,4.0,2602.0
8581,2020.0,7.0,United States,All Sexes,55-64 years,4471.0,38252.0,3880.0,2246.0,8.0,6111.0
8583,2020.0,7.0,United States,All Sexes,75-84 years,8025.0,66015.0,7287.0,3968.0,15.0,11354.0
8584,2020.0,7.0,United States,All Sexes,85 years and over,8100.0,78296.0,6885.0,3450.0,7.0,11538.0
8620,2020.0,8.0,United States,All Sexes,Under 1 year,3.0,1611.0,15.0,2.0,0.0,16.0
8623,2020.0,8.0,United States,All Sexes,5-14 years,6.0,461.0,13.0,0.0,0.0,19.0
8624,2020.0,8.0,United States,All Sexes,15-24 years,70.0,3391.0,67.0,31.0,1.0,107.0
8626,2020.0,8.0,United States,All Sexes,25-34 years,227.0,6746.0,229.0,112.0,0.0,344.0
8628,2020.0,8.0,United States,All Sexes,35-44 years,642.0,9433.0,575.0,303.0,2.0,915.0
8630,2020.0,8.0,United States,All Sexes,45-54 years,1715.0,16670.0,1504.0,909.0,2.0,2311.0
8632,2020.0,8.0,United States,All Sexes,55-64 years,4107.0,37344.0,3981.0,2294.0,3.0,5796.0
8634,2020.0,8.0,United States,All Sexes,75-84 years,8041.0,66636.0,7451.0,4156.0,14.0,11345.0
8635,2020.0,8.0,United States,All Sexes,85 years and over,8042.0,78529.0,6889.0,3462.0,9.0,11472.0
8671,2020.0,9.0,United States,All Sexes,Under 1 year,5.0,1571.0,17.0,2.0,0.0,20.0
8674,2020.0,9.0,United States,All Sexes,5-14 years,3.0,459.0,4.0,0.0,0.0,7.0
8675,2020.0,9.0,United States,All Sexes,15-24 years,38.0,3137.0,58.0,12.0,1.0,85.0
8677,2020.0,9.0,United States,All Sexes,25-34 years,152.0,6091.0,172.0,71.0,0.0,253.0
8679,2020.0,9.0,United States,All Sexes,35-44 years,364.0,8508.0,399.0,170.0,1.0,594.0
8681,2020.0,9.0,United States,All Sexes,45-54 years,975.0,15086.0,1072.0,504.0,4.0,1546.0
8683,2020.0,9.0,United States,All Sexes,55-64 years,2452.0,34131.0,2894.0,1342.0,6.0,4010.0
8685,2020.0,9.0,United States,All Sexes,75-84 years,5230.0,61510.0,5833.0,2612.0,4.0,8454.0
8686,2020.0,9.0,United States,All Sexes,85 years and over,5468.0,74465.0,5703.0,2283.0,6.0,8893.0
8722,2020.0,10.0,United States,All Sexes,Under 1 year,4.0,1543.0,17.0,0.0,0.0,21.0
8725,2020.0,10.0,United States,All Sexes,5-14 years,6.0,484.0,10.0,1.0,0.0,15.0
8726,2020.0,10.0,United States,All Sexes,15-24 years,33.0,3044.0,61.0,8.0,0.0,86.0
